         60341816 function calls (60338469 primitive calls) in 693.266 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.000    0.000    0.000    0.000 contextlib.py:57(__enter__)
       40    0.000    0.000    0.000    0.000 contextlib.py:63(__exit__)
       44    0.001    0.000    0.443    0.010 coo.py:116(__init__)
      264    0.001    0.000    0.001    0.000 coo.py:184(getnnz)
       44    0.001    0.000    0.014    0.000 coo.py:217(_check)
       44    0.002    0.000    0.034    0.001 coo.py:301(tocsr)
        7    0.000    0.000    0.000    0.000 copy.py:269(_reconstruct)
        7    0.000    0.000    0.001    0.000 copy.py:67(copy)
        7    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
        9    0.000    0.000    0.000    0.000 core.py:559(filled)
      315    0.000    0.000    0.000    0.000 core.py:6042(isMaskedArray)
     2400    0.001    0.000    0.005    0.000 cp1252.py:22(decode)
       42    0.000    0.000    0.003    0.000 cross_validation.py:229(__init__)
       42    0.000    0.000    0.003    0.000 cross_validation.py:312(__init__)
      252    0.002    0.000    0.002    0.000 cross_validation.py:320(_iter_test_indices)
       42    0.002    0.000    0.002    0.000 cross_validation.py:64(__init__)
      252    0.002    0.000    0.007    0.000 cross_validation.py:69(__iter__)
      252    0.002    0.000    0.006    0.000 cross_validation.py:79(_iter_test_masks)
      210    0.000    0.000    0.001    0.000 cross_validation.py:93(_empty_mask)
     5229    0.001    0.000    0.001    0.000 csr.py:212(_swap)
      420    0.004    0.000    0.225    0.001 csr.py:217(__getitem__)
      420    0.001    0.000    0.007    0.000 csr.py:218(asindices)
      420    0.001    0.000    0.008    0.000 csr.py:231(check_bounds)
      420    0.003    0.000    0.050    0.000 csr.py:245(extractor)
        1    0.000    0.000    0.000    0.000 cycler.py:227(<genexpr>)
     1647    0.001    0.000    0.005    0.000 data.py:23(__init__)
     2570    0.001    0.000    0.001    0.000 data.py:26(_get_dtype)
      211    0.000    0.000    0.041    0.000 data.py:60(astype)
        8    0.000    0.000    0.000    0.000 enum.py:215(__call__)
        8    0.000    0.000    0.000    0.000 enum.py:459(__new__)
      211    0.001    0.000    0.014    0.000 extmath.py:172(safe_sparse_dot)
        4    0.000    0.000    0.000    0.000 feedparser.py:122(pushlines)
        4    0.000    0.000    0.000    0.000 feedparser.py:125(__iter__)
       44    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
        2    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        2    0.000    0.000    0.000    0.000 feedparser.py:148(<lambda>)
        2    0.000    0.000    0.000    0.000 feedparser.py:175(feed)
        4    0.000    0.000    0.000    0.000 feedparser.py:180(_call_parse)
        2    0.000    0.000    0.000    0.000 feedparser.py:186(close)
